Qunatidade Participantes;ID_PESQUISA;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_islolation;Dem_isolation_adults;Dem_isolation_kids;Comentarios
162;18253;830;16/04/2020 08:20;PT-BR;25;Female;College degree, bachelor, master;Up to 9 years of school;Not employed;Brazil;no;Goiás;Single;0;Yes;Isolated;1;0;A briga entre o presidente do Brasil e o ministério da saúde. É vergonhoso os entraves entre eles. A mídia brasileira mente muito. Muito difícil saber quem diz a verdade.
163;18276;1555;16/04/2020 07:53;PT-BR;26;Female;PhD/Doctorate;College degree;Student;Brazil;no;São Paulo;Single;0;Yes;Life carries on with minor changes;2;0;Faço doutorado em um hospital, que recentemente foi denominado hospital de Campanha. Os casos mais graves estão vindo para cá. Tenho vindo esporadicamente, mas infelizmentes alguns dias eu realmente preciso estar por aqui. Apesar de todos os cuidados que tenho em relação à higiene, minha saúde psicológica têm sido estremecida pelo medo de ser portadora (sintomática ou assintomática) e levar o vírus aos meus familiares (principalmente idosos e asmáticos).
164;18310;809;16/04/2020 06:26;PT-BR;26;Female;PhD/Doctorate;Up to 12 years of school;Student;Brazil;no;São Paulo;Single;0;Yes;Isolated;3;0;NA
165;18362;802;17/04/2020 04:29;PT-BR;28;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;yes;SP;Single;0;Yes;Isolated;1;0;O coronavirus mudou meu jeito de tratar minha família, amigas e parceiro sentimental. Há desejos leves de terminar minha vida louca ligeiramente aumentados.
166;18634;616;16/04/2020 21:24;PT-BR;32;Male;PhD/Doctorate;College degree;Not employed;Brazil;no;Sp;Single;0;Yes;Isolated;0;0;NA
167;18670;928;15/04/2020 20:48;PT-BR;24;Female;College degree, bachelor, master;Up to 6 years of school;Part time employed;Brazil;no;Rio Grande do Sul;Married/cohabiting;0;Yes;Isolated;1;0;NA
168;18681;274;16/04/2020 20:22;PT-BR;23;Male;College degree, bachelor, master;College degree;Student;Brazil;no;Maranhão;Single;0;Yes;Isolated;3;0;NA
169;18710;875;16/04/2020 19:56;PT-BR;36;Female;Some College, short continuing education or equivalent;Up to 9 years of school;Not employed;Brazil;no;Sao Paulo;Married/cohabiting;1;No;Isolated;1;1;NA
170;19125;1467;15/04/2020 08:37;PT-BR;57;Female;College degree, bachelor, master;Up to 9 years of school;Full time employed;Brazil;no;Minas Gerais;Single;1;Yes;Life carries on with minor changes;4;0;NA
171;19235;903;15/04/2020 06:22;PT-BR;22;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Full time employed;Brazil;no;São Paulo;Single;0;Yes;Life carries on with minor changes;2;0;NA
172;19286;165;16/04/2020 05:07;PT-BR;23;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
173;19716;3010;14/04/2020 21:18;PT-BR;60;Female;College degree, bachelor, master;College degree;Retired;Brazil;no;Rio de Janeiro;Divorced/widowed;1;Yes;Life carries on with minor changes;2;0;NA
174;19740;964;15/04/2020 19:36;PT-BR;24;Male;College degree, bachelor, master;College degree;Student;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;3;0;NA
175;19745;1284;14/04/2020 19:20;PT-BR;22;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
176;19751;1299;14/04/2020 19:04;PT-BR;23;Female;College degree, bachelor, master;College degree;Student;Brazil;no;RJ;Single;0;Yes;Isolated;3;0;NA
177;19765;3238;14/04/2020 19:07;PT-BR;23;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;SANTA CATARINA;Married/cohabiting;0;Yes;Isolated;1;1;NA
178;19766;1090;14/04/2020 18:31;PT-BR;24;Female;College degree, bachelor, master;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
179;19772;1855;14/04/2020 18:37;PT-BR;25;Male;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;NA
180;19773;1180;14/04/2020 18:20;PT-BR;23;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Part time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
181;19774;1075;14/04/2020 18:05;PT-BR;41;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;DF;Married/cohabiting;2;Yes;Isolated;1;2;NA
182;19775;817;14/04/2020 18:00;PT-BR;21;Female;Some College, short continuing education or equivalent;PhD/Doctorate;Student;Brazil;no;NA;Single;0;Yes;Isolated;3;2;NA
183;19793;1125;15/04/2020 17:32;PT-BR;23;Female;PhD/Doctorate;Up to 6 years of school;Student;Brazil;no;Ceara;Single;4;Yes;Isolated;4;1;NA
184;19794;1358;14/04/2020 17:32;PT-BR;24;Female;College degree, bachelor, master;PhD/Doctorate;Student;Brazil;no;São Paulo;Single;0;Yes;Isolated;1;0;NA
185;19796;1025;15/04/2020 17:24;PT-BR;23;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;4;0;NA
186;19799;1242;14/04/2020 17:24;PT-BR;22;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;5;0;NA
187;19800;894;14/04/2020 17:15;PT-BR;25;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
188;19801;1078;14/04/2020 17:16;PT-BR;22;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;O governo do presidente brasileiro Jair Bolsonaro está agindo contra a população em uma empreitada necropolítica genocida
189;19803;1069;14/04/2020 17:09;PT-BR;23;Female;Some College, short continuing education or equivalent;College degree;Part time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Life carries on with minor changes;1;0;NA
190;19805;619;14/04/2020 17:02;PT-BR;23;Male;Some College, short continuing education or equivalent;Some College or equivalent;Part time employed;Brazil;no;Rio de janeiro;Single;0;Yes;Isolated;3;0;Ju
191;20951;2590;14/04/2020 06:47;PT-BR;24;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Student;Brazil;no;Rio Grande do Sul;Single;1;Yes;Isolated;3;0;NA
192;21589;924;13/04/2020 22:43;PT-BR;33;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;No;Isolated;3;1;NA
193;21648;828;13/04/2020 21:28;PT-BR;20;Female;Some College, short continuing education or equivalent;Some College or equivalent;Full time employed;Brazil;no;Rio de Janeiro;Single;1;Yes;Isolated;3;0;NA
194;21698;1031;14/04/2020 19:00;PT-BR;67;Male;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;no;Rj;Married/cohabiting;2;Yes;Life carries on with minor changes;2;0;NA
195;21738;1328;13/04/2020 17:48;PT-BR;22;Female;Some College, short continuing education or equivalent;Some College or equivalent;Student;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;1;0;NA
196;21746;2968;14/04/2020 18:06;PT-BR;52;Female;College degree, bachelor, master;Up to 9 years of school;Part time employed;Brazil;no;S/C;Married/cohabiting;2;Yes;Life carries on with minor changes;5;NA;NA
197;21779;396;14/04/2020 16:38;PT-BR;22;Female;College degree, bachelor, master;Some College or equivalent;Not employed;Brazil;no;Mato Grosso do Sul;Single;0;Yes;Life carries on with minor changes;1;0;NA
198;21863;949;14/04/2020 15:30;PT-BR;70;Female;College degree, bachelor, master;Up to 9 years of school;Retired;Brazil;NA;Rio de Janeiro;Married/cohabiting;1;NA;Isolated;1;NA;NA
199;21916;648;14/04/2020 14:51;PT-BR;83;Female;College degree, bachelor, master;Up to 9 years of school;Retired;Brazil;no;NA;Single;1;Yes;Isolated;2;0;NA
200;21999;1098;13/04/2020 14:25;PT-BR;51;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;NA
201;22119;630;14/04/2020 13:29;EN;45;Male;College degree, bachelor, master;College degree;Self-employed;Brazil;yes;Parana;Married/cohabiting;2;Not sure;Isolated;1;2;NA
202;22205;657;14/04/2020 12:54;PT-BR;60;Female;College degree, bachelor, master;Up to 6 years of school;Self-employed;Brazil;no;RJ;Married/cohabiting;0;Yes;Isolated;1;0;NA
203;22297;463;14/04/2020 12:13;PT-BR;24;Female;Some College, short continuing education or equivalent;College degree;Self-employed;Brazil;no;PB;Single;0;Yes;Isolated;3;0;NA
204;22607;795;13/04/2020 09:52;PT-BR;24;Female;College degree, bachelor, master;College degree;Part time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;NA
205;22617;2195;14/04/2020 10:13;PT-BR;59;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Not employed;Brazil;no;Rj;Married/cohabiting;3;Yes;Life carries on with minor changes;3;19;NA
206;22692;1189;14/04/2020 09:25;PT-BR;63;Female;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;Rio de Janeiro;Divorced/widowed;NA;No;Isolated in medical facility of similar location;0;NA;NA
207;22724;1535;13/04/2020 09:18;PT-BR;80;Female;Some College, short continuing education or equivalent;Some College or equivalent;Retired;Brazil;no;Niteroii- RJ;Other or would rather not say;1;Yes;Life carries on as usual;1;0;NA
208;22746;22931;14/04/2020 15:00;PT-BR;56;Male;College degree, bachelor, master;Up to 6 years of school;Retired;Brazil;no;SP;Single;1;Yes;Life carries on with minor changes;0;0;NA
209;22757;1058;13/04/2020 08:50;PT-BR;56;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;NA;Rj;Divorced/widowed;0;Yes;Life carries on with minor changes;NA;0;NA
210;22760;1071;13/04/2020 08:49;PT-BR;65;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;5;0;A incerteza sobre quanto tempo e se algum dia chegaremos a eliminar esse vírus. O impacto desta incerteza abala qualquer segurança
211;22761;1748;13/04/2020 08:59;PT-BR;65;Male;Some College, short continuing education or equivalent;Some College or equivalent;Not employed;Brazil;yes;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;1;0;Saber a verdade de todo isto ! Tenho certeza que mentem no origem
212;22842;1455;13/04/2020 08:09;PT-BR;57;Female;College degree, bachelor, master;Up to 12 years of school;Retired;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;5;0;Ouvir mais música  Fazer exercício físico  Tomar sol
213;22860;1288;13/04/2020 07:54;PT-BR;68;Female;College degree, bachelor, master;Some College or equivalent;Retired;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;6;0;NA
214;22863;3434;13/04/2020 08:29;PT-BR;54;Female;College degree, bachelor, master;Some College or equivalent;Retired;Brazil;no;Rio de Janeiro;NA;0;Yes;Isolated;1;0;Impotência
215;22913;1087;13/04/2020 07:28;PT-BR;52;Male;College degree, bachelor, master;Some College or equivalent;Not employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Isolated;2;0;NA
216;22925;920;13/04/2020 07:20;PT-BR;46;Female;PhD/Doctorate;Some College or equivalent;Part time employed;Brazil;no;SP;Married/cohabiting;2;Yes;Isolated;2;0;NA
217;22986;2039;13/04/2020 07:09;PT-BR;65;Female;College degree, bachelor, master;Up to 12 years of school;Retired;Brazil;no;Rio de Janeiro;Divorced/widowed;0;Yes;Life carries on with minor changes;0;0;NA
218;23018;1154;13/04/2020 06:43;PT-BR;34;Male;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de janeiro;Married/cohabiting;1;Yes;Life carries on with minor changes;1;1;NA
219;23020;1629;13/04/2020 06:50;PT-BR;66;Female;College degree, bachelor, master;Some College or equivalent;Retired;Brazil;no;Rio de Janeiro -rj;Single;3;Yes;Life carries on with minor changes;2;0;NA
220;23062;1129;14/04/2020 06:21;PT-BR;40;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Distrito Federal;Married/cohabiting;0;Yes;Isolated;1;0;Em Meu país, o presidente está em campanha contra as medidas de isolamento propostas pelo ministro da saúde e os governadores dos estados. Isso é um fator bastante estressante.
221;23104;463;14/04/2020 05:41;PT-BR;50;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;SP;Single;2;Yes;Life carries on with minor changes;2;0;NA
222;23153;944;13/04/2020 05:26;PT-BR;41;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;2;1;NA
223;23210;1362;13/04/2020 04:57;PT-BR;63;Female;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;Rio de Janeiro;Divorced/widowed;0;Yes;Isolated;0;0;NA
224;23237;407;14/04/2020 04:28;PT-BR;21;Female;Some College, short continuing education or equivalent;None;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;NA
225;23589;1418;13/04/2020 02:00;PT-BR;49;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;2;Yes;Isolated;3;0;NA
226;23883;47981;14/04/2020 13:03;PT-BR;44;Female;College degree, bachelor, master;College degree;Part time employed;Brazil;no;Rj;Married/cohabiting;2;Yes;Life carries on with minor changes;2;1;NA
227;23957;2520;12/04/2020 23:29;PT-BR;60;Female;College degree, bachelor, master;Up to 12 years of school;Retired;Brazil;no;São Paulo;Divorced/widowed;2;Yes;Life carries on with minor changes;2;0;NA
228;23992;839;13/04/2020 22:20;PT-BR;56;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Divorced/widowed;2;Yes;Isolated;0;0;NA
229;24009;1822;12/04/2020 22:16;PT-BR;61;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;yes;Rio de janeiro;Single;1;Yes;Isolated;1;0;Passo a passo do isolamento : negação, ansiedade, impotência, desespero e aceitação
230;24021;301;13/04/2020 22:01;PT-BR;57;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de janeiro;Married/cohabiting;1;Yes;Isolated in medical facility of similar location;2;0;NA
231;24036;1501;12/04/2020 21:44;PT-BR;67;Female;College degree, bachelor, master;Some College or equivalent;Retired;Brazil;no;Rio de Janeiro;Divorced/widowed;0;Yes;Isolated;1;0;A incerteza em relação aos efeitos, duração, cura me impacta muito.
232;24054;1445;12/04/2020 21:12;PT-BR;61;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;1;0;NA
233;24060;994;12/04/2020 20:50;PT-BR;59;Female;PhD/Doctorate;Some College or equivalent;Self-employed;Brazil;no;Rio de janeiro;Divorced/widowed;0;Yes;Isolated;0;0;NA
234;24061;1030;13/04/2020 20:46;PT-BR;33;Female;Some College, short continuing education or equivalent;Up to 9 years of school;Full time employed;Brazil;no;Paraná;Single;0;Yes;Life carries on with minor changes;3;0;NA
235;24088;280;13/04/2020 19:16;PT-BR;52;Female;College degree, bachelor, master;Up to 12 years of school;Not employed;Brazil;no;Rio de Janeiro;Married/cohabiting;3;Yes;Isolated;2;0;NA
236;24108;1724;12/04/2020 19:12;PT-BR;66;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;RJ;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;NA
237;24157;2627;12/04/2020 17:48;PT-BR;51;Female;PhD/Doctorate;College degree;Part time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;1;Yes;Isolated;1;0;A crise me fez refletir intensamente sobre as desigualdades. Sobre o que parou de funcionar que eu gostaria que não voltasse e o que as pessoas que dependem dessa(s) atividade (s) poderiam fazer, bem como iniciativas que surgiram nesse período e que eu gostaria de ajudar a manter vivas. Passei a valorizar ainda mais as trocas afetivas com pessoas queridas (ainda que virtualmente) e diariamente agradeço ter o privilégio de poder ficar em casa, me manter produtiva e mentalmente sã.
238;24194;415;13/04/2020 16:10;PT-BR;25;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Full time employed;Brazil;no;Santa Catarina;Married/cohabiting;3;Yes;Isolated;3;1;NA
239;24232;266;13/04/2020 15:35;PT-BR;49;Male;Some College, short continuing education or equivalent;Up to 9 years of school;Full time employed;Brazil;no;Minas Gerais;Married/cohabiting;5;Yes;Isolated;3;3;NA
240;24253;981;12/04/2020 15:33;PT-BR;47;Female;College degree, bachelor, master;College degree;Not employed;Brazil;no;Rio de janeiro;Divorced/widowed;1;Yes;Isolated;3;0;NA
241;24313;774;12/04/2020 14:52;PT-BR;51;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;São paulo;Married/cohabiting;2;Yes;Life carries on with minor changes;2;0;NA
242;24325;466;13/04/2020 14:41;PT-BR;45;Female;PhD/Doctorate;College degree;Full time employed;Brazil;no;SC;Married/cohabiting;2;Yes;Isolated;1;1;NA
243;24349;989;12/04/2020 14:35;PT-BR;39;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;1;2;NA
244;24414;1413;12/04/2020 14:09;PT-BR;51;Female;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;yes;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;2;0;NA
245;24440;211;13/04/2020 13:40;PT-BR;35;Female;PhD/Doctorate;Up to 9 years of school;Not employed;Brazil;no;Rj;Married/cohabiting;4;Yes;Isolated;1;1;NA
246;24641;3509;12/04/2020 12:52;PT-BR;47;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;MG;Single;2;Yes;Isolated;1;0;A atuação do presidente do Brasil - Bolsonaro -e por consequência governos estaduais e municipais aliados e indivíduos apoiadores. Impacta negativamente a segurança nacional e planetária. Impacto positivo em minha vida: aproximação de ensinamentos e grandes mestres budistas, meditação e comunidades online de transformação baseado em ensinamentos universais (budistas). Buda da medicina. Arte e amor.
247;24707;2027;13/04/2020 11:55;PT-BR;28;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;São Paulo;Single;0;Yes;Isolated;2;0;NA
248;25246;797;12/04/2020 05:23;PT-BR;24;Female;College degree, bachelor, master;PhD/Doctorate;Not employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;NA
249;26062;1260;11/04/2020 22:10;PT-BR;23;Male;Some College, short continuing education or equivalent;College degree;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;NA
250;26105;2848;11/04/2020 20:06;PT-BR;47;Female;Some College, short continuing education or equivalent;Up to 9 years of school;Student;Brazil;no;SC;Married/cohabiting;1;Yes;Isolated;3;0;fake news, comportamentos que colocam em risco outras pessoas, falta de empatia
251;26110;457;12/04/2020 19:23;PT-BR;40;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;no;São Paulo;Married/cohabiting;2;Yes;Life carries on with minor changes;0;0;NA
252;26131;894;11/04/2020 18:38;PT-BR;24;Male;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Life carries on with minor changes;3;0;NA
253;26134;871;11/04/2020 18:29;PT-BR;32;Female;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;Rio Grande do Sul;Single;0;Yes;Life carries on with minor changes;1;0;O
254;26143;198;12/04/2020 18:02;PT-BR;23;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;NA
255;26147;790;11/04/2020 17:50;PT-BR;23;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;rio de janeiro;Single;0;Yes;Isolated;2;0;NA
256;26479;1147;12/04/2020 12:52;PT-BR;39;Male;College degree, bachelor, master;Up to 12 years of school;Part time employed;Brazil;no;SC;Married/cohabiting;1;No;Life carries on with minor changes;1;1;NA
257;26525;967;12/04/2020 12:22;PT-BR;25;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Santa Catarina;Single;0;Yes;Life carries on with minor changes;3;1;NA
258;26554;1240;11/04/2020 12:04;PT-BR;28;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Full time employed;Brazil;no;Santa Catarina;Single;0;Yes;Isolated;2;0;NA
259;26588;900;11/04/2020 11:33;PT-BR;44;Female;College degree, bachelor, master;Up to 6 years of school;Full time employed;Brazil;no;Santa Catarina;Married/cohabiting;1;Yes;Life carries on with minor changes;2;0;NA
260;26631;1089;11/04/2020 11:05;PT-BR;43;Female;College degree, bachelor, master;Up to 9 years of school;Full time employed;Brazil;no;Santa Catarina;Divorced/widowed;2;Yes;Life carries on with minor changes;1;0;NA
261;26632;521;12/04/2020 10:56;PT-BR;23;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Santa Catarina;Single;0;Yes;Life carries on with minor changes;0;0;NA
262;26641;319;12/04/2020 10:42;PT-BR;29;Female;Some College, short continuing education or equivalent;Some College or equivalent;Full time employed;Brazil;no;Santa Catarina;Married/cohabiting;2;Yes;Isolated;1;0;NA
263;26674;199;12/04/2020 10:16;PT-BR;26;NA;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;NA;SANTA CATARINA;Single;0;Yes;Life carries on with minor changes;4;1;NA
264;26736;486;12/04/2020 09:40;PT-BR;24;Male;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Santa Catarina;Single;0;No;Life carries on with minor changes;3;0;NA
265;26739;150;12/04/2020 09:35;PT-BR;27;Female;Up to 9 years of school;Up to 6 years of school;Full time employed;Brazil;no;SC;Single;5;Yes;Life carries on with minor changes;5;1;NA
266;26759;1169;11/04/2020 09:27;PT-BR;26;Female;Some College, short continuing education or equivalent;Up to 9 years of school;Full time employed;Brazil;no;Santa Catarina;Single;2;Yes;Life carries on with minor changes;8;1;NA
267;27460;2250;10/04/2020 23:10;PT-BR;36;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Santa Catarina;Married/cohabiting;0;No;Isolated;1;0;NA
268;27487;1329;10/04/2020 21:50;PT-BR;29;Female;Some College, short continuing education or equivalent;Some College or equivalent;Student;Brazil;yes;RS;Single;0;Yes;Isolated;3;0;NA
269;27529;988;11/04/2020 18:31;PT-BR;22;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Santa Catarina;Single;0;Yes;Isolated;2;0;Acho válido pesquisar sobre a mudança na vida acadêmica, porque muita coisa mudou. Ainda mais para quem está nos anos finais/ano final.
270;27599;1630;10/04/2020 16:08;PT-BR;29;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;Santa Catarina;Single;7;Yes;Life carries on with minor changes;4;0;Moro em uma cidade pequena, no interior de SC, o fato de ter sitiantes entrando e saindo com frequência me deixa apreensiva.
271;27768;1026;11/04/2020 13:43;PT-BR;30;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;NA;Married/cohabiting;1;No;Isolated;1;1;NA
272;27849;793;10/04/2020 12:44;PT-BR;28;Female;College degree, bachelor, master;Some College or equivalent;Retired;Brazil;no;Rio Grande do Sul;Single;0;Yes;Isolated;0;0;NA
273;27895;834;11/04/2020 12:11;PT-BR;28;Female;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;no;Santa Catarina;Single;0;Yes;Isolated;1;0;NA
274;27961;1397;10/04/2020 11:38;PT-BR;36;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Student;Brazil;no;Santa Catarina;Other or would rather not say;2;Yes;Isolated;2;1;NA
275;27983;1392;11/04/2020 11:24;PT-BR;43;Female;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;SC;Married/cohabiting;2;Yes;Isolated;2;2;A dissociação entre ações e orientações do presidente da República e órgãos do governo ou agências de saúde promove insegurança... Bem como, a falta de ações de auxílio financeiro do governo com a população
276;27984;588;10/04/2020 11:09;PT-BR;22;Female;Some College, short continuing education or equivalent;College degree;Full time employed;Brazil;no;Santa Catarina;Single;0;Yes;Life carries on with minor changes;1;1;NA
277;28023;395;11/04/2020 10:42;PT-BR;19;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;Santa Catarina;Single;0;No;Life carries on with minor changes;1;0;NA
278;28063;2492;11/04/2020 10:54;PT-BR;18;Female;Some College, short continuing education or equivalent;Up to 9 years of school;Student;Brazil;no;Santa Catarina;Single;0;No;Life carries on with minor changes;5;0;NA
279;28116;898;10/04/2020 09:55;PT-BR;28;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Santa Catarina;Married/cohabiting;0;No;Isolated;1;0;NA
280;28123;203;11/04/2020 09:39;PT-BR;25;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Full time employed;Brazil;no;Santa Catarina;Single;0;Yes;Isolated;3;0;NA
281;28137;939;10/04/2020 09:42;PT-BR;20;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Full time employed;Brazil;no;Santa Catarina;Single;0;Yes;Isolated;2;0;NA
282;28140;1183;11/04/2020 09:45;PT-BR;27;Female;College degree, bachelor, master;Up to 9 years of school;Student;Brazil;no;Santa Catarina;Single;0;Yes;Life carries on with minor changes;4;0;NA
283;28142;1020;10/04/2020 09:42;PT-BR;19;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Full time employed;Brazil;no;Santa Catarina;Other or would rather not say;0;Yes;Life carries on with minor changes;2;0;Me sinto muito mau, minha autoestima diminui a cada dia que passa, pelos comentários da minha mãe em relação a mim. Não acredita no meu trabalho nem no que eu faço. Tenho medo de entrar em crise novamente.
284;28149;837;11/04/2020 09:35;PT-BR;34;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Full time employed;Brazil;no;SC;Single;0;Yes;Life carries on with minor changes;1;0;NA
285;28153;634;11/04/2020 09:30;PT-BR;20;Female;Some College, short continuing education or equivalent;College degree;Part time employed;Brazil;no;Santa Catarina;Married/cohabiting;0;No;Life carries on with minor changes;1;0;NA
286;28185;1038;10/04/2020 09:20;PT-BR;36;Female;College degree, bachelor, master;Up to 9 years of school;Student;Brazil;no;Santa Catarina;Divorced/widowed;2;Yes;Isolated;0;2;NA
287;28197;1415;10/04/2020 09:18;PT-BR;21;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Santa Catarina;Married/cohabiting;0;Yes;Life carries on with minor changes;2;0;NA
288;28209;660;11/04/2020 09:01;PT-BR;44;Female;College degree, bachelor, master;Up to 6 years of school;Full time employed;Brazil;no;Santa Catarina;Married/cohabiting;1;Yes;Isolated;2;0;NA
289;28233;528;11/04/2020 08:47;PT-BR;21;Female;Some College, short continuing education or equivalent;Up to 9 years of school;Not employed;Brazil;no;Santa catarina;Single;4;Yes;Life carries on with minor changes;2;1;NA
290;28242;2613;10/04/2020 09:16;PT-BR;27;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Santa catarina;Divorced/widowed;6;Yes;Life carries on with minor changes;3;1;NA
291;28243;275;11/04/2020 08:36;PT-BR;24;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;Santa Catarina;Married/cohabiting;0;Yes;Life carries on with minor changes;NA;NA;NA
292;28258;1053;11/04/2020 08:41;PT-BR;31;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Santa Catarina;Single;0;Yes;Life carries on with minor changes;4;0;NA
293;28273;1238;11/04/2020 08:32;PT-BR;36;Female;Some College, short continuing education or equivalent;Up to 9 years of school;Part time employed;Brazil;yes;Santa Catarina;Single;1;No;Life carries on with minor changes;1;1;NA
