Qunatidade Participantes;ID_PESQUISA;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_islolation;Dem_isolation_adults;Dem_isolation_kids;Comentarios
63;9262;569;30/04/2020 08:32;PT-BR;35;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Full time employed;Brazil;no;SP;Single;0;Yes;Life carries on with minor changes;2;0;NA
64;9264;85044;30/04/2020 07:59;PT-BR;32;Female;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Life carries on with minor changes;1;0;NA
65;9267;630;30/04/2020 08:36;PT-BR;25;Male;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;SP;Single;0;Yes;Isolated;4;0;NA
66;9276;969;29/04/2020 08:25;SAR;24;Female;PhD/Doctorate;Some College or equivalent;Full time employed;Brazil;yes;Sao Paulo;Single;0;Yes;Isolated;0;0;NA
67;9284;4525;29/04/2020 09:12;PT-BR;27;Female;College degree, bachelor, master;Up to 12 years of school;Student;Brazil;no;São Paulo;Single;0;Yes;Isolated;0;0;NA
68;9293;1701;29/04/2020 08:14;PT-BR;24;Female;College degree, bachelor, master;Up to 12 years of school;Student;Brazil;no;SP;Single;0;Yes;Isolated;2;0;NA
69;9305;3470;29/04/2020 08:07;PT-BR;24;Female;College degree, bachelor, master;Some College or equivalent;Student;Brazil;no;MG - Minas Gerais;Single;0;Yes;Isolated;3;0;NA
70;9313;1333;29/04/2020 07:08;PT-BR;39;Female;PhD/Doctorate;Up to 12 years of school;Part time employed;Brazil;no;Rio de Janeiro;Single;2;Yes;Isolated;3;0;NA
71;9393;2043;29/04/2020 00:21;PT-BR;18;Male;Some College, short continuing education or equivalent;College degree;Not employed;Brazil;no;SÃO PAULO;Single;0;Yes;Isolated;2;1;NA
72;9409;865;28/04/2020 22:28;PT-BR;26;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;NA
73;9451;1178;28/04/2020 16:11;PT-BR;55;Male;PhD/Doctorate;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;2;Yes;Isolated;2;0;NA
74;9454;143;29/04/2020 15:38;PT-BR;30;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;yes;rio de janeiro;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;NA
75;9477;10162;29/04/2020 15:35;PT-BR;30;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;yes;rio de janeiro;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;NA
76;9478;800;28/04/2020 12:58;PT-BR;27;Female;College degree, bachelor, master;College degree;Student;Brazil;yes;RJ;Single;0;Yes;Isolated;2;0;NA
77;9479;11380;28/04/2020 15:54;PT-BR;27;Female;College degree, bachelor, master;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;1;NA
78;9480;1083;28/04/2020 13:02;PT-BR;27;Female;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;RJ;Single;0;Yes;Isolated;1;1;NA
79;9481;1448;28/04/2020 13:08;PT-BR;35;Female;College degree, bachelor, master;Up to 12 years of school;Part time employed;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;1;0;NA
80;9486;1488;28/04/2020 12:29;PT-BR;30;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;RJ;Single;0;Yes;Isolated;3;0;NA
81;9545;748;28/04/2020 06:42;PT-BR;37;Female;PhD/Doctorate;PhD/Doctorate;Full time employed;Brazil;no;São Paulo;Married/cohabiting;1;Yes;Isolated;1;1;NA
82;9572;779;29/04/2020 04:34;PT-BR;32;Male;PhD/Doctorate;Some College or equivalent;Self-employed;Brazil;no;SP;Married/cohabiting;1;Yes;Isolated;1;1;NA
83;9678;922;27/04/2020 18:43;PT-BR;44;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;no;Sao Paulo;Married/cohabiting;4;Yes;Life carries on with minor changes;2;2;NA
84;9680;735;28/04/2020 18:35;PT-BR;41;Male;PhD/Doctorate;PhD/Doctorate;Full time employed;Brazil;no;SP;Married/cohabiting;3;Yes;Isolated;2;1;NA
85;9685;1702;27/04/2020 18:19;PT-BR;43;Male;PhD/Doctorate;Up to 6 years of school;Full time employed;Brazil;no;São Paulo;Married/cohabiting;2;Yes;Isolated;3;0;NA
86;9705;1498;27/04/2020 16:17;PT-BR;21;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Student;Brazil;no;São Paulo;Married/cohabiting;0;Yes;Isolated;1;0;NA
87;9738;277;28/04/2020 14:02;PT-BR;53;Female;College degree, bachelor, master;None;Full time employed;Brazil;no;NA;Married/cohabiting;2;Yes;Isolated;3;0;NA
88;9754;4266;27/04/2020 13:46;PT-BR;27;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Mato Grosso do Sul;Single;0;Yes;Life carries on with minor changes;2;0;Meu relacionamento com Deus me ajuda muito, me dá segurança, paz! Meu relacionamento com minha família também. E tenho procurado não ver muitas notícias sobre essa situação do mundo. Se aparece alguma informação pra mim eu vejo, mas não vou atras disso!
89;9797;7604;27/04/2020 12:31;PT-BR;20;Female;Some College, short continuing education or equivalent;Up to 9 years of school;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;1;NA
90;9802;2812;27/04/2020 10:48;PT-BR;23;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;RJ;Single;0;Yes;Isolated;3;0;NA
91;9805;1201;27/04/2020 10:18;PT-BR;22;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;RJ;Single;0;No;Isolated;4;0;NA
92;10062;743;26/04/2020 22:34;PT-BR;29;Female;Some College, short continuing education or equivalent;College degree;Full time employed;Brazil;no;Rio de janeiro;Single;0;Yes;Life carries on with minor changes;1;0;NA
93;10091;915;26/04/2020 19:55;PT-BR;21;Male;Some College, short continuing education or equivalent;Some College or equivalent;Not employed;Brazil;no;RJ;Single;0;Yes;Isolated;2;0;NA
94;10132;1198;26/04/2020 15:40;PT-BR;19;Male;Up to 12 years of school;College degree;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Life carries on with minor changes;4;0;NA
95;10143;305;27/04/2020 14:35;PT-BR;19;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;NA
96;10145;1102;26/04/2020 14:47;PT-BR;19;Male;Some College, short continuing education or equivalent;PhD/Doctorate;Part time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;2;0;NA
97;10153;1628;26/04/2020 14:34;PT-BR;55;Female;College degree, bachelor, master;Up to 6 years of school;Self-employed;Brazil;no;SP;Married/cohabiting;1;Yes;Isolated;3;0;NA
98;10191;104;27/04/2020 11:36;PT-BR;19;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Not employed;Brazil;no;SP;Other or would rather not say;3;Yes;Life carries on with minor changes;2;0;NA
99;10196;1052;26/04/2020 11:47;PT-BR;45;Female;College degree, bachelor, master;Up to 9 years of school;Full time employed;Brazil;no;São Paulo;Married/cohabiting;1;Yes;Life carries on with minor changes;1;0;NA
100;10202;1387;26/04/2020 11:33;PT-BR;20;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Full time employed;Brazil;no;São Paulo;Single;0;Yes;Life carries on with minor changes;4;0;NA
101;10203;1383;27/04/2020 11:33;PT-BR;18;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Not employed;Brazil;no;São Paulo;Single;0;Yes;Life carries on with minor changes;2;0;NA
102;10204;1012;26/04/2020 11:26;PT-BR;33;Male;College degree, bachelor, master;College degree;Full time employed;Brazil;no;São Paulo;Divorced/widowed;0;No;Isolated;0;0;A preocupação com o trabalho, sustento e saúde psicológica da comunidade ao redor
103;10205;5522;27/04/2020 12:41;PT-BR;21;Female;Some College, short continuing education or equivalent;Some College or equivalent;Student;Brazil;no;São Paulo;Single;0;Not sure;Isolated;0;0;NA
104;10206;1253;26/04/2020 11:30;PT-BR;19;Male;Some College, short continuing education or equivalent;Up to 12 years of school;Student;Brazil;no;Goiás;Single;0;Yes;Life carries on with minor changes;6;0;NA
105;10207;1629;26/04/2020 11:36;PT-BR;19;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;SP;Single;0;Yes;Life carries on with minor changes;3;0;NA
106;10208;7454;26/04/2020 13:13;PT-BR;20;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;SP;Single;0;Yes;Life carries on with minor changes;1;0;NA
107;10247;1345;26/04/2020 08:06;PT-BR;55;Male;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;NA;Married/cohabiting;1;Yes;Isolated;1;0;NA
108;10321;1386;25/04/2020 22:11;PT-BR;38;Female;PhD/Doctorate;Up to 6 years of school;Part time employed;Brazil;no;São Paulo;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;NA
109;10655;717;24/04/2020 12:26;PT-BR;20;Female;Some College, short continuing education or equivalent;PhD/Doctorate;Student;Brazil;no;rio de janeiro;Single;0;Yes;Isolated;4;0;NA
110;10936;1153;24/04/2020 16:13;PT-BR;57;Female;College degree, bachelor, master;Up to 9 years of school;Part time employed;Brazil;no;SP;Married/cohabiting;1;Yes;Life carries on with minor changes;2;0;NA
111;10945;1466;23/04/2020 16:04;PT-BR;41;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;São Paulo;Single;0;Yes;Isolated;1;0;NA
112;10980;1146;23/04/2020 14:25;PT-BR;51;Female;College degree, bachelor, master;Up to 12 years of school;Part time employed;Brazil;no;SP;Married/cohabiting;2;Yes;Isolated;3;0;NA
113;10990;209;24/04/2020 13:41;PT-BR;34;Male;College degree, bachelor, master;Up to 6 years of school;Full time employed;Brazil;no;SP;Married/cohabiting;1;Yes;Isolated;1;0;NA
114;11052;276971;26/04/2020 16:44;PT-BR;41;Female;PhD/Doctorate;College degree;Part time employed;Brazil;no;RJ;Married/cohabiting;3;Yes;Life carries on with minor changes;1;3;Acumular as tarefas de casa, aulas online, home schooling e trabalho afetam bastante meu bem estar. Acho que as atividades acadêmicas deveriam ter sido suspensas para as crianças e universitários. A não ser que COVID seja objeto de pesquisa da pessoa, penso não é hora para produzir. Esse é um momento de pausa.
115;11095;271;24/04/2020 10:27;PT-BR;41;Female;College degree, bachelor, master;Up to 6 years of school;Full time employed;Brazil;no;São Paulo;Married/cohabiting;0;Yes;Isolated;1;0;NA
116;11115;1012;23/04/2020 09:57;PT-BR;30;Female;College degree, bachelor, master;Up to 9 years of school;Not employed;Brazil;no;Sao Paulo;Single;2;Yes;Isolated;1;0;.
117;11116;21565;23/04/2020 15:39;PT-BR;46;Female;College degree, bachelor, master;PhD/Doctorate;Full time employed;Brazil;no;São Paulo;Married/cohabiting;1;Yes;Isolated;2;1;Falta de salário do meu marido. Está afetando muito a gente. Temis conta atrasada
118;11162;1531;24/04/2020 08:47;PT-BR;29;Female;College degree, bachelor, master;Up to 12 years of school;Part time employed;Brazil;no;Sao Paulo;Married/cohabiting;0;No;Isolated;2;0;NA
